notifying_member,distribution_date,title,description,products_covered,hs_code_s,ics_code_s,objectives,objectives_free_text,keywords,specific_regions_or_countries_likely_to_be_affected,final_date_for_comments,proposed_adoption_date,proposed_entry_into_force_date,notification_type,notified_document,technical_regulation_article_2_9_2,technical_regulation_urgent_article_2_10_1,conformity_assessment_procedure_article_5_6_2,conformity_assessment_procedure_urgent_article_5_7_1,technical_regulation_local_government_article_3_2,conformity_assessment_procedure_local_government_article_7_2,other,relevant_documents,codex_alimentarius_commission,world_organization_for_animal_health_oie,international_plant_protection_convention,none,does_this_proposed_regulation_conform_to_the_relevant_international_standard,if_no_describe_whenever_possible_how_and_why_it_deviates_from_the_international_standard,products_covered_raw,ics_codes_raw,hs_codes_raw,ics_list,hs_list,is_sps,is_tbt
United States of America,2022-10-13,National Organic Program (NOP); Organic Livestock and Poultry Standards,"TITLE: National Organic Program; Organic Livestock and Poultry StandardsAGENCY: Agricultural Marketing Service, USDAACTION: Proposed rule; extension of public comment periodSUMMARY: On 9 August 2022, the Agricultural Marketing Service (AMS) published proposed amendments to the United States Department of Agriculture (USDA) organic regulations, with a 60-day comment period ending on 11 October 2022. The proposed rule would amend organic livestock and poultry production requirements. In response to multiple requests, AMS is announcing an extension of the public comment period by an additional 30 calendar days.DATES: The deadline for receipt of comments on the proposed rule published on 9 August 2022, at 87 FR 48562, is extended until 10 November 2022.This proposed rulemaking; supplemental notice; extension of public comment period and the proposed rulemaking; supplemental notice notified as G/TBT/N/USA/1910 are identified by Docket Number AMS-NOP-21-0073. The Docket Folder is available from Regulations.gov at https://www.regulations.gov/docket/AMS-NOP-21-0073/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 10 November 2022. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period.","Organic livestock and poultry; Farming and forestry (ICS code(s): 65.020); Processes in the food industry (ICS code(s): 67.020); Meat, meat products and other animal produce (ICS code(s): 67.120)",,"65.020 - Farming and forestry; 65.020 - Farming and forestry; 67.020 - Processes in the food industry; 67.020 - Processes in the food industry; 67.120 - Meat, meat products and other animal produce; 67.120 - Meat, meat products and other animal produce",Prevention of deceptive practices and consumer protection (TBT); Protection of animal or plant life or health (TBT),,Food standards; Food standards,,2022-11-10 00:00:00,,,Addendum to Regular Notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_6915_00_e.pdf,No,No,No,No,No,No,Yes,,,,,,,,"Organic livestock and poultry; Farming and forestry (ICS code(s): 65.020); Processes in the food industry (ICS code(s): 67.020); Meat, meat products and other animal produce (ICS code(s): 67.120)","65.020 - Farming and forestry; 65.020 - Farming and forestry; 67.020 - Processes in the food industry; 67.020 - Processes in the food industry; 67.120 - Meat, meat products and other animal produce; 67.120 - Meat, meat products and other animal produce",,"['65.020', '65.020', '67.020', '67.020', '67.120', '67.120']",[],False,True
United States of America,2022-10-13,United States Standards for Wheat,"TITLE: United States Standards for WheatAGENCY: Agricultural Marketing Service, USDAACTION: NoticeSUMMARY: The United States Department of Agriculture's (USDA) Agricultural Marketing Service (AMS) is making no changes regarding the U.S. Standards for Wheat under the U.S. Grain Standards Act, as amended (USGSA).Applicable: 12 October 2022.This notice and the notice; request for information notified as G/TBT/N/USA/1724 are identified by Docket Number AMS-FGIS-21-0017. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/AMS-FGIS-21-0017/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number._x000D_",Wheat,1001 - Wheat and meslin; 1001 - Wheat and meslin,"03.120 - Quality; 03.120 - Quality; 67.060 - Cereals, pulses and derived products; 67.060 - Cereals, pulses and derived products",Prevention of deceptive practices and consumer protection (TBT); Quality requirements (TBT),,Food standards; Food standards,,,,,Addendum to Regular Notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_6928_00_e.pdf,No,No,No,No,No,No,Yes,,,,,,,,Wheat,"03.120 - Quality; 03.120 - Quality; 67.060 - Cereals, pulses and derived products; 67.060 - Cereals, pulses and derived products",1001 - Wheat and meslin; 1001 - Wheat and meslin,"['03.120', '03.120', '67.060', '67.060']",['1001'],False,True
United States of America,2022-10-17,"Energy Conservation Program for Consumer Products and Certain Commercial and Industrial Equipment: Proposed Determination of Commercial and Industrial Fans, Blowers, and Fume Hoods as Covered Equipment","TITLE: Energy Conservation Program: Energy Conservation Standards for Fans and BlowersAGENCY: Office of Energy Efficiency and Renewable Energy, Department of EnergyACTION: Notification of data availability (""NODA"")SUMMARY: On 8 February 2022, the U.S. Department of Energy (""DOE"") published a request for information regarding energy conservation standards for fans and blowers. In this NODA, DOE is publishing preliminary inputs and methodology for its technology, screening, engineering, shipments, markups, life cycle cost, and energy use analysis for air circulating fans. Air circulating fans are a subcategory of fans; however, air circulating fans were not included in the Appliance Standards and Rulemaking Federal Advisory (""ASRAC"") negotiations undertaken in 2015 (see Docket Number EERE-2013-BT-STD-0006). The purpose of this NODA is to provide stakeholders with the opportunity to review and provide comment on DOE's preliminary technical and economic evaluation of air circulating fans, prior to DOE's publication of a notice of proposed rulemaking for all fans and blowers. The analysis presented in this NODA is consistent with the air circulating fans scope and definitions that DOE proposed in the 25 July 2022, test procedure notice of proposed rulemaking (""NOPR"") for fans and blowers (""July 2022 TP NOPR"" notified as G/TBT/N/USA/1900 and identified by Docket Number EERE-2021-BT-TP-0021). DOE requests comments, data, and information regarding its analysis.DATES: Written comments and information will be accepted on or before 28 November 2022.This notification of data availability and the request for information notified as G/TBT/N/USA/636/Add.3 are identified by Docket Number EERE-2022-BT-STD-0002. The Docket Folder is available from Regulations.gov at https://www.regulations.gov/docket/EERE-2022-BT-STD-0002/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 28 November 2022. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period. Previous actions notified under the symbol G/TBT/N/USA/636 are identified by Docket Number EERE-2011-BT-DET-0045. The Docket Folder is available at https://www.regulations.gov/docket/EERE-2011-BT-DET-0045/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.","Commercial and industrial fans, blowers & fume hoods (HS 8414; ICS 13.020, 23.120)","8414 - Air or vacuum pumps (excl. gas compound elevators and pneumatic elevators and conveyors); air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; parts thereof; 8414 - Air or vacuum pumps (excl. gas compound elevators and pneumatic elevators and conveyors); air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; parts thereof",13.020 - Environmental protection; 13.020 - Environmental protection; 23.120 - Ventilators. Fans. Air-conditioners; 23.120 - Ventilators. Fans. Air-conditioners,Protection of the environment (TBT),Protection of environment,,,,,,Addendum to Regular Notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_6961_00_e.pdf,Yes,No,No,No,No,No,No,,,,,,,,"Commercial and industrial fans, blowers & fume hoods (HS 8414; ICS 13.020, 23.120)",13.020 - Environmental protection; 13.020 - Environmental protection; 23.120 - Ventilators. Fans. Air-conditioners; 23.120 - Ventilators. Fans. Air-conditioners,"8414 - Air or vacuum pumps (excl. gas compound elevators and pneumatic elevators and conveyors); air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; parts thereof; 8414 - Air or vacuum pumps (excl. gas compound elevators and pneumatic elevators and conveyors); air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; parts thereof","['13.020', '13.020', '23.120', '23.120']",['8414'],False,True
United States of America,2022-10-17,United States Standards for Beans: Chickpea/Garbanzo Beans,"Notice and request for comments - Notice and request for comments - The United States Department of Agriculture's (USDA) Agricultural Marketing Service (AMS) is proposing revision to the U.S. Standards for Beans, pertaining to the grade determining factors Moisture and Contrasting Chickpeas in the class Chickpea/Garbanzo Beans, under the United States Agricultural Marketing Act of 1946, as amended, (AMA). Stakeholders in the bean processing/handling industry requested AMS to amend the grading requirements for Moisture and Contrasting Chickpeas in Chickpea/Garbanzo Beans in the U.S. Bean Standards. To ensure that the bean standards remain relevant, AMS invites interested parties to comment on whether revising the Chickpea/Garbanzo standard will facilitate the marketing of Chickpea/Garbanzo Beans. This action may revise or amend the table of Grades and Grade Requirements for Chickpea/Garbanzo Beans in the U.S. Standard for Beans. The current version of the standard for Chickpea/Garbanzo Beans is accessible from the AMS-GD-2020-11-FGIS Handbooks website at https://www.ams.usda.gov/publications/content/fgis-pdf-handbooks in the Bean Inspection Handbook (pdf). FGIS stands for the Federal Grain Inspection Service","Chickpeas/Garbanzo beans; Leguminous vegetables, shelled or unshelled, fresh or chilled. (HS code(s): 0708); - Leguminous vegetables, shelled or unshelled: (HS code(s): 07102); Quality (ICS code(s): 03.120); Fruits. Vegetables (ICS code(s): 67.080)","0708 - Leguminous vegetables, shelled or unshelled, fresh or chilled; 07102 - - Leguminous vegetables, shelled or unshelled :",03.120 - Quality; 67.080 - Fruits. Vegetables,Quality requirements (TBT); Reducing trade barriers and facilitating trade (TBT),,Food standards,,2022-12-12 00:00:00,To be determined,To be determined,Regular notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_7006_00_e.pdf,No,No,No,No,No,No,Yes,"Relevant documents: 87 Federal Register (FR) 61559, 12 October 2022:_x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-12/html/2022-22109.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-12/pdf/2022-22109.pdfThis notice; request for information is identified by Docket Number AMS-FGIS-22-0066. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/AMS-FGIS-22-0066/document and provides access to primary documents as well as comments received. If the link to the docket folder is not working, use this link instead: https://www.regulations.gov/document/AMS_FRDOC_0001-2349. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 12 December 2022. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period.Access to the current grading requirements for Moisture and Contrasting Chickpeas in Chickpea/Garbanzo Beans in the U.S. Bean Standards is available on the website for AMS-GD-2020-11 - FGIS Handbooks at https://www.ams.usda.gov/publications/content/fgis-pdf-handbooks. Refer to the Bean Inspection Handbook (pdf). FGIS stands for the Federal Grain Inspection Service, a unit of the USDA Grain Inspection, Packers and Stockyards Administration.",,,,,,,"Chickpeas/Garbanzo beans; Leguminous vegetables, shelled or unshelled, fresh or chilled. (HS code(s): 0708); - Leguminous vegetables, shelled or unshelled: (HS code(s): 07102); Quality (ICS code(s): 03.120); Fruits. Vegetables (ICS code(s): 67.080)",03.120 - Quality; 67.080 - Fruits. Vegetables,"0708 - Leguminous vegetables, shelled or unshelled, fresh or chilled; 07102 - - Leguminous vegetables, shelled or unshelled :","['03.120', '67.080']",['0708'],False,True
United States of America,2022-10-18,Proposed Finding That Lead Emissions From Aircraft Engines That Operate on Leaded Fuel Cause or Contribute to Air Pollution That May Reasonably Be Anticipated To Endanger Public Health and Welfare,"Proposed action - In this action, the Administrator is proposing to find that lead air pollution may reasonably be anticipated to endanger the public health and welfare within the meaning of section 231(a) of the Clean Air Act. The Administrator is also proposing to find that engine emissions of lead from certain aircraft cause or contribute to the lead air pollution that may reasonably be anticipated to endanger public health and welfare under section 231(a) of the Clean Air Act. Entities potentially interested in this proposed action include those that manufacture and sell covered aircraft engines and covered aircraft in the United States and those who own or operate covered aircraft. Covered aircraft engines in this context means any aircraft engine capable of using leaded aviation gasoline as well as all aircraft and ultralight vehicles equipped with covered engines. The proposed findings in this action, if finalized, would not themselves apply new requirements to entities other than the EPA and the Federal Aviation Administration (FAA).",Lead emissions from aircraft engines; Environmental protection (ICS code(s): 13.020); Air quality (ICS code(s): 13.040); Aerospace engines and propulsion systems (ICS code(s): 49.050); Liquid fuels (ICS code(s): 75.160.20),,13.020 - Environmental protection; 13.040 - Air quality; 49.050 - Aerospace engines and propulsion systems; 75.160.20 - Liquid fuels,Protection of human health or safety (TBT); Protection of the environment (TBT),,Human health,,2023-01-17 00:00:00,To be determined,To be determined,Regular notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_7047_00_e.pdf,No,No,No,No,No,No,Yes,"87 Federal Register (FR) 62753, 17 October 2022; Title 40 Code of Federal Regulations (CFR) Parts 87, 1031, and 1068: _x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-17/html/2022-22223.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-17/pdf/2022-22223.pdf_x000D_ This proposed action is identified by Docket Number EPA-HQ-OAR-2022-0389. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/EPA-HQ-OAR-2022-0389/document and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 17 January 2023. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period.The EPA plans to hold a virtual public hearing on 1 November 2022 using Zoom. To attend, all attendees (including those who will not be presenting verbal testimony) must register in advance, by or before 31 October 2022. Use the instructions at https://www.epa.gov/​regulations-emissions-vehicles-and-engines/​regulations-lead-emissions-aircraft to register to speak at the virtual hearing. Prior to the hearing, the EPA will post a general agenda that will list registered speakers in approximate (speaking) order at the URL listed directly above. The EPA will make every effort to follow the schedule as closely as possible on the day of the hearing; however, please plan for the hearings to run either ahead of schedule or behind schedule.",,,,,,,Lead emissions from aircraft engines; Environmental protection (ICS code(s): 13.020); Air quality (ICS code(s): 13.040); Aerospace engines and propulsion systems (ICS code(s): 49.050); Liquid fuels (ICS code(s): 75.160.20),13.020 - Environmental protection; 13.040 - Air quality; 49.050 - Aerospace engines and propulsion systems; 75.160.20 - Liquid fuels,,"['13.020', '13.040', '49.050', '75.160']",[],False,True
United States of America,2022-10-18,Regulation Number 21 Control of Volatile Organic Compounds from Consumer Products and Architectural and Industrial Maintenance Coatings,Proposed rule - Amends rules addressing Colorado’s Environmental Justice Act HB21-1266 and the U.S. Federal Clean Air Act (CAA) (42 U.S.C. 7401 et seq.): Severe and Moderate Ozone Nonattainment requirements; includes proposed elements to Colorado State Implementation Plans (SIP) and revisions to associated regulations; provides that there are six segments to this rulemaking hearing which will be addressed by the Commission. A Rulemaking Hearing will take place via Zoom on 13 December 2022; information on attending the hearing and participating in the rulemaking process is available at: https://www.coloradosos.gov/CCR/DisplayHearingDetails.do?trackingNumber=2022-00559,Volatile Organic Compounds (VOCs); Environmental protection (ICS code(s): 13.020); Air quality (ICS code(s): 13.040),,13.020 - Environmental protection; 13.040 - Air quality,Protection of the environment (TBT),,,,2022-12-13 00:00:00,To be determined,To be determined,Regular notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_7048_00_e.pdf,No,No,No,No,Yes,No,No,"Colorado Register 25 September 2022: https://www.coloradosos.gov/CCR/RegisterContents.do?publicationDay=09/25/2022&Volume=45&yearPublishNumber=18&Month=9&Year=2022CCR rule (in PDF) for 5 CCR 1001-25, current as of 14 September 2014 _x000D_ Regulation Number 21 Control of Volatile Organic Compounds from Consumer Products and Architectural and Industrial Maintenance Coatings _x000D_ https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=8227Code of Colorado Regulations - 5 CCR 1001-25, current as of 14 September 2019_x000D_ Regulation Number 21 Control of Volatile Organic Compounds from Consumer Products and Architectural and Industrial Maintenance Coatings_x000D_ https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=8227WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 13 December 2022. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator if received within the comment period.",,,,,,,Volatile Organic Compounds (VOCs); Environmental protection (ICS code(s): 13.020); Air quality (ICS code(s): 13.040),13.020 - Environmental protection; 13.040 - Air quality,,"['13.020', '13.040']",[],False,True
United States of America,2022-10-19,Energy Conservation Program: Test Procedure for Portable Electric Spas,"Notice of proposed rulemaking and request for comment - The U.S. Department of Energy (""DOE"") proposes to establish definitions, a test procedure, and sampling requirements for portable electric spas. Currently, portable electric spas are not subject to DOE test procedures or energy conservation standards. The proposed test method references the relevant industry test standard. DOE is seeking comment from interested parties on the proposals within the notice of proposed rulemaking (""NOPR"").DOE will hold a webinar on Thursday, 17 November 2022, from 1:00 p.m. to 4:00 p.m.Eastern Time. See section V, “Public Participation,” for webinar registration information, participant instructions, and information about the capabilities available to webinar participants.",Portable electric spas; Quality (ICS code(s): 03.120); Environmental protection (ICS code(s): 13.020); Test conditions and procedures in general (ICS code(s): 19.020); Miscellaneous domestic and commercial equipment (ICS code(s): 97.180),,03.120 - Quality; 13.020 - Environmental protection; 19.020 - Test conditions and procedures in general; 97.180 - Miscellaneous domestic and commercial equipment,Prevention of deceptive practices and consumer protection (TBT); Protection of the environment (TBT); Quality requirements (TBT),,,,2022-12-19 00:00:00,To be determined,To be determined,Regular notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_7068_00_e.pdf,Yes,No,Yes,No,No,No,No,"87 Federal Register (FR) 63356, 18 October 2022; Title 10 Code of Federal Regulations (CFR) Parts 429 and 430:_x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-18/html/2022-21914.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-18/pdf/2022-21914.pdfThis notice of proposed rulemaking; request for comment is identified by Docket Number EERE-2022-BT-TP-0024. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/EERE-2022-BT-TP-0024/document and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 19 December 2022. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period.G/TBT/N/USA/1836 and Add.1 - Energy Conservation Program: Proposed and Final Determination of Portable Electric Spas as a Covered Consumer Product, identified by Docket Number EERE-2022-BT-DET-0006_x000D_ _x000D_",,,,,,,Portable electric spas; Quality (ICS code(s): 03.120); Environmental protection (ICS code(s): 13.020); Test conditions and procedures in general (ICS code(s): 19.020); Miscellaneous domestic and commercial equipment (ICS code(s): 97.180),03.120 - Quality; 13.020 - Environmental protection; 19.020 - Test conditions and procedures in general; 97.180 - Miscellaneous domestic and commercial equipment,,"['03.120', '13.020', '19.020', '97.180']",[],False,True
United States of America,2022-10-19,Energy Conservation Program: Test Procedure for Air Cleaners,"Notice of proposed rulemaking and request for comment - The U.S. Department of Energy (""DOE"") proposes to establish definitions, a test procedure, and sampling and representation requirements for air cleaners. Currently, air cleaners are not subject to DOE test procedures or energy conservation standards. DOE proposes a test procedure for measuring the integrated energy factor for air cleaners. The proposed test method references the relevant industry standard, with certain proposed modifications. DOE is seeking comment from interested parties on the proposal.DOE will hold a webinar on Wednesday, 9 November 2022, from 1:00 p.m. to 4:00 p.m.Eastern Time. See section V, “Public Participation,” for webinar registration information, participant instructions, and information about the capabilities available to webinar participants.",Air cleaners; Quality (ICS code(s): 03.120); Air quality (ICS code(s): 13.040); Test conditions and procedures in general (ICS code(s): 19.020); Miscellaneous domestic and commercial equipment (ICS code(s): 97.180),,03.120 - Quality; 13.040 - Air quality; 19.020 - Test conditions and procedures in general; 97.180 - Miscellaneous domestic and commercial equipment,Prevention of deceptive practices and consumer protection (TBT); Protection of the environment (TBT); Quality requirements (TBT),,,,2022-12-19 00:00:00,To be determined,To be determined,Regular notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_7070_00_e.pdf,Yes,No,Yes,No,No,No,No,"87 Federal Register (FR) 63324, 18 October 2022; Title 10 Code of Federal Regulations (CFR) Parts 429 and 430:https://www.govinfo.gov/content/pkg/FR-2022-10-18/html/2022-21698.htmhttps://www.govinfo.gov/content/pkg/FR-2022-10-18/pdf/2022-21698.pdfThis notice of proposed rulemaking; request for comment is identified by EERE-2021-TP-0036 The Docket Folder is available from Regulations.gov at https://www.regulations.gov/docket/EERE-2021-BT-TP-0036/document and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number(s). WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 19 December 2022. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period.DOE proposes to incorporate by reference the following draft industry standards into 10 CFR part 430AHAM AC-7-2022 Draft, “Energy Test Method for Consumer Room Air Cleaners”.AHAM AC-7-2022 Draft is in draft form and its text was provided to DOE for the purposes of review only during the drafting of this notice of proposed rulemaking (“NOPR”). DOE intends to update the reference to the final published version of AHAM AC-7-2022 Draft in the test procedure final rule, should it publish prior to the final rule, unless there are substantive changes between the draft and published versions, in which case DOE may adopt the substance of the AHAM AC-7-2022 Draft or provide additional opportunity for comment on the changes to the industry consensus test procedure.A copy of AHAM AC-7-2022 Draft is included in the docket for this proposed rulemaking.AHAM AC-7-2022 Draft additionally references ANSI/AHAM AC-1-2020, “Method for Measuring Performance of Portable Household Electric Room Air Cleaners” in several sections (“AHAM AC-1-2020”).A copy of AHAM AC-1-2020 can be obtained from the Association of Home Appliance Manufacturers (AHAM) at 1111 19th Street NW, Suite 402, Washington, DC 20036; or www.aham.org/​AHAM/​AuxStoreASTM E741-11(2017), “Standard Test Method for Determining Air Change in a Single Zone Means of a Tracer Gas Dilution” Reapproved 1 Sept. 2017.A copy of ASTM E741-11(2017) can be obtained from ASTM International (ASTM), 100 Barr Harbor Drive, P.O. Box C700, West Conshohocken, PA 19428-2959, or www.astm.orgIEC 62301, “Household electrical appliances—Measurement of standby power;” Edition 2.0, 2011-01, (“IEC 62301 Ed. 2.0”).A copy of IEC 62301 Ed. 2.0 can be obtained from the International Electrotechnical Commission (IEC), available from the American National Standards Institute (ANSI), 25 W 43rd Street, 4th Floor, New York, NY 10036, (212) 642-4900, or https://webstore.ansi.org/G/TBT/N/USA/1778 and Add.1 - Energy Conservation Program: Proposed and Final Determination of Air Cleaners as a Covered Consumer Product identified by Docket Number EERE-2021-BT-DET-0022G/TBT/N/USA/1827 and Add.1 - Energy Conservation Program: Test Procedure and Energy Conservation Standards for Consumer Products; Consumer Air Cleaners; Request for information identified by Docket Numbers EERE-2021-BT-STD-0035 and EERE-2021-TP-0036_x000D_ _x000D_",,,,,,,Air cleaners; Quality (ICS code(s): 03.120); Air quality (ICS code(s): 13.040); Test conditions and procedures in general (ICS code(s): 19.020); Miscellaneous domestic and commercial equipment (ICS code(s): 97.180),03.120 - Quality; 13.040 - Air quality; 19.020 - Test conditions and procedures in general; 97.180 - Miscellaneous domestic and commercial equipment,,"['03.120', '13.040', '19.020', '97.180']",[],False,True
United States of America,2022-10-20,Airworthiness Criteria: Special Class Airworthiness Criteria for the Insitu Inc. ScanEagle3 Unmanned Aircraft,"Notice of proposed airworthiness criteria - The FAA announces the availability of and requests comments on proposed airworthiness criteria for the Insitu Inc. Model ScanEagle3 unmanned aircraft (UA). This document proposes the airworthiness criteria that the FAA finds to be appropriate and applicable for the UA design.Since 2019, the USA has notified various actions concerning Unmanned Aircraft",Insitu Inc. ScanEagle3 unmanned aircraft; Aircraft and space vehicles in general (ICS code(s): 49.020),,49.020 - Aircraft and space vehicles in general,Protection of human health or safety (TBT),,,,2022-11-04 00:00:00,To be determined,To be determined,Regular notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_7093_00_e.pdf,No,No,No,No,No,No,Yes,"87 Federal Register (FR) 60338, 5 October 2022; Title 14 Code of Federal Regulations (CFR) Part 21:https://www.govinfo.gov/content/pkg/FR-2022-10-05/html/2022-21571.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-05/pdf/2022-21571.pdfThis notice of proposed airworthiness criteria is identified by Docket Number FAA-2022-0533. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/FAA-2022-0533/document and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 4 November 2022. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period.",,,,,,,Insitu Inc. ScanEagle3 unmanned aircraft; Aircraft and space vehicles in general (ICS code(s): 49.020),49.020 - Aircraft and space vehicles in general,,['49.020'],[],False,True
United States of America,2022-10-20,Medical Devices Subject to Administrative Destruction,"Notice of Proposed Rulemaking - The Food and Drug Administration (FDA, Agency, or we) is proposing a regulation to implement its new authority to destroy a device valued at $2,500 or less (or such higher amount as the Secretary of the Treasury may set by regulation), that has been refused admission into the United States under the Federal Food, Drug, and Cosmetic Act (FD&C Act 21 USC Ch. 9), by providing to the owner or consignee notice and an opportunity to appear and introduce testimony prior to the destruction. Once finalized, this regulation will allow FDA to better protect the public health by preventing re-importation and deterring future shipments of refused devices subject to administrative destruction. We also discuss in this Notice of Proposed Rulemaking our intent to change FDA's procedures for administrative destruction of drugs and, if this proposed rule is finalized, these procedures will also include devices subject to administrative destruction. We described our current procedures in the proposed and final rules entitled ""Administrative Destruction of Certain Drugs Refused Admission to the United States.""","Medical devices: Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments (HS code(s): 9018); Medical equipment (ICS code(s): 11.040); Domestic safety (ICS code(s): 13.120)","9018 - Instruments and appliances used in medical, surgical, dental or veterinary sciences, incl. scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments, n.e.s.",11.040 - Medical equipment; 13.120 - Domestic safety,Protection of human health or safety (TBT),,Human health,,2022-12-06 00:00:00,To be determined,To be determined,Regular notification,https://members.wto.org/crnattachments/2022/TBT/USA/22_7094_00_e.pdf,No,No,No,No,No,No,Yes,"87 Federal Register (FR) 60947, 7 October 2022; Title 21 Code of Federal Regulations (CFR) Part 1:_x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-07/html/2022-21809.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2022-10-07/pdf/2022-21809.pdfThis notice of proposed rulemaking is identified by Docket Number FDA-2021-N-1348. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/FDA-2021-N-1348/document and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point by or before 4pmEastern Time on 6 December 2022. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period._x000D_ FDA Administrative Destruction of Certain Drugs Refused Admission to the United States; Proposed and Final Rules (Primary Documents), Comments, Supporting Materials are available from Regulations.govFDA-2014-N-0504",,,,,,,"Medical devices: Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments (HS code(s): 9018); Medical equipment (ICS code(s): 11.040); Domestic safety (ICS code(s): 13.120)",11.040 - Medical equipment; 13.120 - Domestic safety,"9018 - Instruments and appliances used in medical, surgical, dental or veterinary sciences, incl. scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments, n.e.s.","['11.040', '13.120']",['9018'],False,True
